,Word,Meaning,Secondary_Meaning
542,Mawkish,Excessively sentimental to the point of being sickening.,
543,Meager,Lacking in quantity or quality; insufficient.,
544,Mendacity,Untruthfulness or dishonesty.,
545,Mercenary,Motivated by money or material gain rather than ethics.,A professional soldier hired to serve in a foreign army.
546,Mercurial,Prone to sudden changes in mood or behavior.,
547,Meretricious,Attracting attention in a vulgar or flashy way; false allure.,
548,Metaphorical,"Figurative, not literal.",
549,Meticulous,Extremely careful and precise.,
550,Mettlesome,Full of spirit and courage.,
551,Mimic,"To imitate someone or something, often to entertain or ridicule.",To closely resemble something.
552,Minute,Extremely small or detailed.,A record of proceedings or actions taken during a meeting.
553,Misanthropic,Disliking or mistrusting humankind.,
554,Misconstrue,To interpret something incorrectly.,
555,Miscreant,A person who behaves badly or breaks the law.,
556,Miserly,Stingy or unwilling to spend money.,
557,Misnomer,An incorrect or inappropriate name.,
558,Mitigate,"To make something less severe, harmful, or painful.",
559,Modish,Stylish or fashionable.,
560,Mollify,To soothe or appease anger or anxiety.,
561,Morbid,"Having an abnormal or unhealthy interest in disturbing subjects, especially death.",
562,Mordant,Sharply critical or biting in tone or manner.,
563,Morose,"Sullen, gloomy, or ill-tempered.",
564,Mundane,Ordinary or lacking excitement; everyday.,Of the earthly world rather than a spiritual one.
565,Munificent,Extremely generous or lavish.,
566,Myopic,"Short-sighted, either literally or figuratively (lacking foresight or imagination).",
567,Myriad,A countless or extremely large number.,
568,Nadir,The lowest point in a situation or condition.,
569,Nascent,Just coming into existence and beginning to display potential.,
570,Negligent,Failing to take proper care or attention.,
571,Neophyte,A beginner or someone new to a subject or activity.,
572,Nettlesome,Irritating or annoying.,
573,Nonchalant,"Calm, casual, and unconcerned.",
574,Nonplussed,"Confused or unsure how to respond. Secondary (informal, U.S.): Unfazed or unaffected.",
575,Normative,Relating to establishing standards or norms.,
576,Novel,New or original.,A long work of fiction.
577,Noxious,"Harmful, poisonous, or very unpleasant.",
578,Nullify,To make something legally null and void; invalidate.,To cancel out or neutralize.
579,Numinous,Having a strong spiritual or divine quality.,
580,Obdurate,Stubbornly refusing to change one's opinion or course of action.,
581,Obeisance,"A gesture of respect or deference, such as a bow.",
582,Obfuscate,To deliberately make something unclear or difficult to understand.,
583,Objurgate,To scold or criticize harshly.,
584,Oblivious,Unaware or not concerned about what is happening.,
585,Obscure,Not well known or difficult to understand.,To conceal or make unclear.
586,Obsequious,Excessively obedient or attentive to please others.,
587,Obsolete,No longer in use; outdated.,
588,Obstinate,Stubbornly refusing to change one's opinion or behavior.,
589,Obviate,To remove or prevent the need for something.,
590,Occlude,To block or stop up.,
591,Odious,Extremely unpleasant or repulsive.,
592,Officious,Intrusively enthusiastic in offering help or advice.,
593,Omnipresent,Present everywhere at the same time.,
594,Omniscient,Knowing everything.,
595,Onerous,Burdensome or involving heavy obligations.,
596,Opaque,Not transparent; not allowing light to pass through.,Hard to understand or interpret.
597,Opprobrium,Harsh criticism or disgrace.,
598,Opulent,Rich and luxurious.,
599,Ossify,To become rigid or inflexible.,To turn into bone.
600,Ostentatious,"Designed to impress or attract attention, often in a showy manner.",
601,Oust,To remove or expel someone from a position or place.,
602,Overt,Done or shown openly; not hidden or secret.,
603,Palliate,To alleviate symptoms without curing the underlying cause.,To moderate or lessen the seriousness of something.
604,Palpable,Able to be touched or felt.,So intense as to seem almost tangible.
605,Panacea,A solution or remedy for all difficulties or diseases.,
606,Panache,Flamboyant confidence of style or manner.,
607,Paradigm,A typical example or pattern of something; a model.,
608,Paradox,A statement or situation that appears contradictory but may contain truth.,
609,Paragon,A person or thing regarded as a perfect example of a particular quality.,
610,Parochial,Relating to a parish or church.,Narrow-minded or limited in scope.
611,Parsimonious,Extremely frugal or stingy.,
612,Partial,Incomplete or not whole.,Showing bias or favor toward something.
613,Partisan,"A strong supporter of a party, cause, or person.",Prejudiced in favor of a particular cause.
614,Pastiche,A work that imitates the style of previous works.,A mixture of different elements.
615,Pastoral,Relating to the countryside or rural life.,Relating to the duties of a pastor.
616,Patent,Easily recognizable or obvious.,A legal right granted for an invention.
617,Patronize,To treat with apparent kindness that betrays a sense of superiority.,To support or sponsor something.
618,Paucity,A scarcity or insufficient quantity.,
619,Peculiar,Strange or unusual.,Belonging specifically to someone or something.
620,Pedantic,Overly concerned with minor details or formal rules.,
621,Pedestrian,A person walking along a road or street.,Lacking inspiration or excitement; dull.
622,Pejorative,Expressing disapproval or contempt.,
623,Pellucid,Clear and easy to understand.,Transparent or allowing light to pass through.
624,Penchant,A strong liking or inclination for something.,
625,Penitent,Feeling or showing regret for wrongdoing.,
626,Pensive,"Deep in thought, often in a reflective or melancholic way.",
627,Penurious,Extremely poor; poverty-stricken.,Stingy or unwilling to spend money.
628,Perennial,Lasting for a long time or recurring repeatedly.,A plant that lives for more than two years.
629,Perfidy,Deceitfulness or untrustworthiness.,
630,Perfunctory,Done without care or interest; routine.,
631,Perilous,Full of danger or risk.,
632,Peripheral,Relating to the outer edge or boundary.,Of minor importance; marginal.
633,Pernicious,"Having a harmful effect, often in a subtle or gradual way.",
634,Perpetrate,To commit or carry out (a crime or harmful act).,
635,Perpetuate,To cause something to continue indefinitely.,
636,Perspicacious,Having keen insight or understanding.,
637,Pertinacious,Holding firmly to an opinion or course of action.,
638,Pertinent,Relevant or applicable to a particular matter.,
639,Pervasive,Spreading widely throughout an area or group.,
640,Petulant,Childishly sulky or bad-tempered.,
641,Philistine,A person who is indifferent or hostile to culture and the arts.,
642,Phlegmatic,Calm and unemotional in temperament.,
643,Phony,Fake or not genuine.,
644,Picturesque,"Visually attractive, especially in a quaint or charming way.",
645,Piquant,Having a pleasantly sharp or spicy taste.,Stimulating or exciting to the mind.
646,Pithy,Concise and full of meaning.,
647,Placate,To make someone less angry or hostile.,
648,Placid,"Calm and peaceful, with little movement or activity.",
649,Plaintive,Sounding sad or mournful.,
650,Plastic,Able to be molded or shaped.,Artificial or superficial in nature.
651,Platitude,"A remark or statement, especially one with moral content, that is overused and unoriginal.",
652,Plausible,Seemingly reasonable or probable.,
653,Pliant,Easily bent or flexible.,Easily influenced or yielding to others.
654,Plodding,Slow-moving and unexciting.,Working persistently but without enthusiasm.
655,Ploy,A cunning plan or action designed to turn a situation to one's advantage.,
656,Plucky,Showing determined courage in the face of difficulties.,
657,Poignant,"Evoking a strong emotional reaction, especially sadness or regret.",
658,Polarize,To divide into sharply opposing factions or groups.,
659,Polemical,Relating to or involving strongly critical or controversial speech or writing.,
660,Ponderous,Slow and clumsy due to great weight.,Dull or laborious.
661,Portend,To be a sign or warning that something significant or bad will happen.,
662,Portentous,Ominous or foreboding.,Pompous or self-important.
663,Precarious,Not securely held or in position; dangerously unstable.,
664,Precipitate,To cause something to happen suddenly or unexpectedly.,Acting hastily or without careful consideration.
665,Precipitous,Dangerously steep or high.,Done suddenly and without careful thought.
666,Preclude,To prevent or make impossible.,
667,Precocious,Showing advanced abilities or maturity at an unusually early age.,
668,Predicament,"A difficult, unpleasant, or embarrassing situation.",
669,Predilection,A strong preference or special liking for something.,
670,Premeditate,To think about or plan something in advance.,
671,Premonition,"A strong feeling that something is about to happen, especially something bad.",
672,Prescient,Having knowledge of events before they take place.,
673,Presumptuous,Overstepping boundaries of propriety or courtesy; arrogant.,
674,Pretentious,"Attempting to impress by showing greater importance, talent, or culture than is actually possessed.",
675,Preternatural,Beyond what is normal or natural.,
676,Prevaricate,To avoid telling the truth by being evasive or ambiguous.,
677,Pristine,In its original condition; unspoiled.,Clean and fresh as if new.
678,Probity,Strong moral principles; honesty and integrity.,
679,Proclivity,A natural inclination or predisposition toward something.,
680,Prodigal,Wastefully extravagant.,Having or giving something on a lavish scale.
681,Prodigious,"Remarkably great in size, extent, or degree.",
682,Profligate,Recklessly extravagant or wasteful in resources.,A person who is recklessly extravagant.
683,Profound,"Very deep, intellectually or emotionally.",Having a far-reaching impact.
684,Profundity,Depth of thought or insight.,
685,Profuse,Abundant or extravagant in quantity.,
686,Proliferate,To increase rapidly in numbers or spread quickly.,
687,Prolific,"Producing much fruit, foliage, or offspring.",Producing abundant works or results.
688,Prolix,Excessively lengthy or wordy.,
689,Promulgate,"To make a policy, law, or idea widely known or official.",
690,Propensity,A natural tendency or inclination to behave in a certain way.,
691,Prophetic,Accurately predicting future events.,
692,Propitiate,To appease or win the favor of someone.,
693,Prosaic,Dull or lacking imagination.,
694,Providential,Happening at a favorable time; opportune.,Involving divine foresight or intervention.
695,Provincial,Relating to a province or rural area.,Narrow-minded or unsophisticated.
696,Provocative,"Causing a strong reaction, especially deliberately.",
697,Prowess,Exceptional skill or ability.,
698,Proxy,A person authorized to act on behalf of another.,The authority to represent someone else.
699,Prudent,Acting with care and thought for the future.,
700,Puerile,Childishly silly or immature.,
701,Pugnacious,"Eager or quick to argue, quarrel, or fight.",
702,Punctilious,Showing great attention to detail or correct behavior.,
703,Qualm,"A feeling of unease or doubt, often about one's own actions.",
704,Quandary,A state of perplexity or uncertainty over what to do in a difficult situation.,
705,Quash,"To reject or void something, especially a legal decision.",To suppress or put an end to something.
706,Quibble,To argue or raise objections about a trivial matter.,A minor or petty criticism.
707,Quiescent,In a state of inactivity or dormancy.,
708,Quirky,Characterized by peculiar or unexpected traits.,
709,Quixotic,Extremely idealistic and impractical.,
710,Quotidian,Ordinary or everyday; commonplace.,
711,Radical,Relating to or affecting the fundamental nature of something; far-reaching.,Advocating for thorough or complete political or social change.
712,Raillery,"Light, good-humored teasing.",
713,Ramification,"A consequence of an action or event, especially when complex or unwelcome.",
714,Rampant,"Spreading unchecked, often in a harmful way.",
715,Rapacious,Aggressively greedy or grasping.,
716,Rapprochement,The reestablishment of friendly relations.,
717,Recant,"To formally withdraw a belief, statement, or opinion.",
718,Recapitulate,To summarize or repeat the main points.,
719,Recluse,A person who lives a solitary life and avoids social interaction.,
720,Recondite,"Little known or obscure, often referring to complex or specialized knowledge.",
721,Recourse,The use of someone or something for help or protection.,
722,Recrudesce,To break out again or recur after a period of inactivity.,
723,Redoubtable,"Formidable, especially as an opponent.",Worthy of respect or honor.
724,Redundant,Not or no longer needed or useful; superfluous.,
725,Refute,To prove a statement or theory to be wrong or false.,
726,Regress,To return to a previous or less advanced state.,
727,Reiterate,To repeat something for emphasis or clarity.,
728,Relegate,To assign to a lower position or rank.,To delegate a task or responsibility.
729,Relinquish,To give up or surrender something voluntarily.,
730,Relish,Great enjoyment or appreciation.,To enjoy or savor something.
731,Remedial,"Intended to correct or improve something, especially a skill or knowledge deficit.",
732,Render,To provide or deliver something.,To cause something to become.
733,Renege,"To go back on a promise, agreement, or commitment.",
734,Renounce,"To formally declare abandonment of a claim, right, or possession.",
735,Repercussion,"An unintended consequence of an event or action, especially an unwelcome one.",
736,Repertoire,"A set of skills, abilities, or works that a person is prepared to perform.",
737,Replenish,To refill or restore to its former level or condition.,
738,Reproach,To express disapproval or disappointment.,
739,Reprobate,An unprincipled or immoral person.,Expressing disapproval.
740,Repudiate,To reject or disown something as untrue or unjust.,
741,Repugnant,Extremely distasteful or unacceptable.,
742,Resilient,Able to recover quickly from difficulty or adversity.,Capable of returning to its original shape after being bent or stretched.
743,Resolute,Admirably determined and unwavering.,
744,Resolution,A firm decision to do or not do something.,The process of solving a problem or dispute.
745,Resolve,Determination to achieve something.,To settle or find a solution to a problem.
746,Restive,Unable to keep still or silent due to impatience or dissatisfaction.,
747,Resurgent,Rising again after a period of decline or inactivity.,
748,Reticent,Reserved or reluctant to share thoughts or feelings.,
749,Retiring,Shy and inclined to avoid social interactions.,Leaving a position or profession.
750,Rhetoric,The art of effective or persuasive speaking or writing.,Language that is insincere or empty in substance.
751,Risible,Provoking laughter; absurd or ridiculous.,
752,Row,A noisy dispute or quarrel.,A series of objects arranged in a line.
753,Ruminate,To think deeply about something.,To chew the cud (in animals).
754,Sacrosanct,Regarded as too important or valuable to be interfered with.,
755,Sagacious,Having keen judgment or insight; wise.,
756,Salutary,"Beneficial, especially after something unpleasant.",
757,Sanctimonious,Making a show of being morally superior to others.,
758,Sanction,Official approval or permission for an action.,A penalty imposed to enforce compliance.
759,Sanguine,"Optimistic or positive, especially in diOicult situations.",A blood-red color.
760,Sartorial,"Relating to tailoring, clothes, or style of dress.",
761,Satirical,"Using humor, irony, or ridicule to criticize or expose.",
762,Scant,Barely sufficient or adequate.,
763,Schism,"A split or division between strongly opposed groups, often due to differing beliefs.",
764,Scorn,Contempt or disdain toward someone or something considered unworthy.,To reject or refuse with contempt.
765,Scrupulous,Diligent and extremely attentive to detail.,Very concerned to avoid doing wrong.
766,Scuffle,"A short, confused fight or struggle.",To move in a hurried or awkward manner.
767,Sedulous,Showing dedication and diligence.,
768,Serene,"Calm, peaceful, and untroubled.",
769,Sever,To cut off or separate.,To break a connection or relationship.
770,Sham,Something false or fake.,To falsely present as genuine.
771,Shirk,To avoid or neglect a duty or responsibility.,
772,Showy,"Excessively bright, elaborate, or ostentatious.",
773,Shrewd,Having sharp judgment or practical intelligence.,
774,Sinecure,A position requiring little or no work but providing financial benefit.,
775,Sinuous,Having many curves and turns.,Flexible or graceful in movement.
776,Skeptic,A person inclined to question or doubt accepted opinions.,
777,Skittish,Nervous or easily frightened.,Lacking stability; unpredictable.
778,Slander,A false spoken statement that damages someone's reputation.,To make false and damaging statements about someone.
779,Slight,Small in degree or inconsiderable.,To insult or disregard someone.
780,Slovenly,Messy or dirty.,Careless or negligent.
781,Sluggish,Lacking energy or slow-moving.,
782,Solicitous,Showing concern or care for someone's well-being.,
783,Soporific,Tending to induce drowsiness or sleep.,
784,Sordid,Involving immoral or dishonorable actions.,Dirty or squalid.
785,Sparing,Economical or frugal.,Restrained or limited in quantity.
786,Sparse,Thinly scattered or distributed.,
787,Spartan,"Simple, austere, and disciplined.",
788,Specious,Misleadingly attractive or plausible.,
789,Spendthrift,A person who spends money extravagantly.,
790,Sporadic,Occurring at irregular intervals; scattered.,
791,Spurious,False or not genuine.,
792,Spurn,To reject with disdain or contempt.,
793,Squander,"To waste something, especially time or money, in a reckless manner.",
794,Staid,"Serious, respectable, and unadventurous.",
795,Stalwart,"Loyal, reliable, and hardworking.",Strongly built or sturdy.
796,Stanch,"To stop or restrict the flow of something, especially blood.",
797,Staple,A basic or essential item or commodity.,
798,Stern,Strict or severe in manner.,The rear part of a ship.
799,Stigmatize,To brand or label something or someone with disgrace.,
800,Stingy,Unwilling to spend money; miserly.,
801,Stint,A fixed period of time spent doing a specific activity.,To be frugal or limit resources.
802,Stoic,Enduring pain or hardship without showing emotion.,
803,Stolid,"Calm and dependable, showing little emotion or animation.",
804,Strife,"Conflict, struggle, or discord.",
805,Stringent,"Strict or exacting, often referring to rules or requirements.",
806,Subservient,Excessively willing to obey or serve others.,Less important; subordinate.
807,Subside,To become less intense or severe.,To sink to a lower level or into the ground.
808,Subsume,To include or absorb something into a larger group or category.,
809,Subtle,"Delicate or understated, not immediately obvious.",Crafty or clever in approach.
810,Subvert,"To undermine the authority, power, or integrity of something.",
811,Sullen,Gloomy or bad-tempered.,
812,Superficial,Concerned with the surface or appearance rather than depth or substance.,Existing only on the surface; shallow.
813,Superfluous,Unnecessary or excessive.,
814,Supersede,To take the place of something previously in use or authority.,
815,Supplant,To replace or displace something or someone.,
816,Supplicate,To earnestly or humbly request something.,
817,Surfeit,An excessive amount of something.,To overindulge or consume excessively.
818,Surly,Bad-tempered and unfriendly.,
819,Surmount,To overcome a difficulty or obstacle.,To be placed on top of something.
820,Surreptitious,Done secretly or stealthily.,
821,Surrogate,A substitute or replacement for someone or something.,
822,Susceptible,Likely to be influenced or harmed by a particular thing.,
823,Sycophant,A person who flatters or acts submissively toward someone important to gain advantage.,
824,Synoptic,Providing a general summary or overview.,
825,Tacit,Understood or implied without being stated.,
826,Taciturn,Reserved or uncommunicative in speech; saying little.,
827,Tact,Sensitivity and skill in dealing with others or with difficult issues.,
828,Tangent,A completely different line of thought or action.,A straight line that touches a curve but does not cross it.
829,Tantalizing,Tempting or teasing by keeping something just out of reach.,
830,Tantamount,Equivalent in seriousness or virtually the same as something.,
831,Tarnish,"To lose or cause to lose luster, especially from exposure to air or moisture.",To damage someone's reputation.
832,Temerity,Excessive confidence or boldness; audacity.,
833,Temper,To moderate or soften something.,"A state of mind, especially regarding anger or calmness."
834,Tempestuous,Characterized by strong and turbulent emotions.,Relating to or resembling a storm.
835,Temporal,Relating to worldly as opposed to spiritual matters.,Relating to time.
836,Tenable,Capable of being defended or justified.,
837,Tendentious,"Expressing or promoting a particular point of view, especially one that is controversial.",
838,Tenuous,Very weak or slight.,Thin or slender in form.
839,Tepid,Lukewarm in temperature.,Lacking enthusiasm or interest.
840,Terse,Brief and to the point; concise.,
841,Timorous,Showing nervousness or a lack of confidence.,
842,Tirade,"A long, angry speech of criticism or accusation.",
843,Torpid,Mentally or physically inactive; sluggish.,
844,Torpor,A state of physical or mental inactivity; lethargy.,
845,Tortuous,Full of twists and turns.,Complex or excessively lengthy.
846,Tout,To publicly promote or praise something.,
847,Tractable,Easy to control or influence.,
848,Tranquil,Peaceful and calm.,
849,Transient,Lasting only for a short time; temporary.,A person staying in a place for a short time.
850,Trenchant,Vigorous or incisive in expression or style.,
851,Trifling,Unimportant or trivial.,
852,Trite,Overused and lacking originality or freshness.,
853,Trivial,Of little value or importance.,
854,Truculent,Aggressively defiant or eager to argue.,
855,Turbid,"Cloudy or opaque, especially with suspended particles.",Confused or unclear.
856,Turgid,Swollen or distended.,Overly complex or pompous in style.
857,Turpitude,Depravity or wickedness.,
858,Ubiquitous,"Present, appearing, or found everywhere.",
859,Umbrage,Offense or annoyance.,A shadow or shade.
860,Uncultivated,"Lacking education, refinement, or sophistication.",Not prepared for growing crops.
861,Undermine,"To weaken or damage, especially gradually or subtly.",
862,Underscore,To emphasize or highlight something.,A line drawn under text.
863,Unpropitious,Not favorable or likely to succeed.,
864,Unscrupulous,Lacking moral principles or ethics.,
865,Unseemly,Inappropriate or improper.,
866,Upbraid,To scold or criticize sharply.,
867,Utilitarian,Designed for practical use rather than beauty.,Relating to the philosophy of utilitarianism.
868,Vacillate,To waver between different opinions or actions.,
869,Vacuous,"Lacking thought, intelligence, or substance.",
870,Vanquish,To defeat thoroughly in a conflict or contest.,
871,Vapid,Offering nothing stimulating or challenging; dull.,
872,Venal,Open to bribery or corruption.,
873,Venerate,To regard with great respect or reverence.,
874,Veracious,Truthful or honest.,
875,Verbose,Using more words than necessary; wordy.,
876,Verisimilitude,The appearance of being true or real.,
877,Veritable,"Used as an intensifier, often to qualify a metaphor; true or genuine.",
878,Vexation,"The state of being annoyed, frustrated, or worried.",
879,Viable,"Capable of working, succeeding, or living.",
880,Vigilant,Keeping careful watch for potential danger or difficulties.,
881,Vilify,To speak or write about someone in a disparaging manner.,
882,Vindicate,To clear someone of blame or suspicion.,To justify or prove the validity of something.
883,Virulent,Extremely harmful or poisonous.,Bitterly hostile or antagonistic.
884,Visionary,Thinking about or planning the future with imagination or wisdom.,A person with original ideas about the future.
885,Vitiate,To impair the quality or effectiveness of something.,
886,Vivacious,Attractively lively and animated.,
887,Vociferous,Expressing opinions or feelings loudly and forcefully.,
888,Volatile,"Prone to rapid and unpredictable changes, especially for the worse.",Easily evaporated at normal temperatures (used for chemicals).
889,Voluble,"Talking fluently, readily, or incessantly.",
890,Wane,"To decrease in size, extent, or degree.",
891,Wanting,Lacking or deficient in a quality or necessary component.,
892,Warrant,To justify or necessitate a course of action.,"A document authorizing an action, such as an arrest or search."
893,Wary,Feeling or showing caution about possible dangers or problems.,
894,Weary,Feeling tired or worn out.,Bored or impatient with something tedious.
895,Whimsical,Playfully quaint or fanciful.,Unpredictable or capricious.
896,Wily,"Skilled at gaining an advantage, often deceitfully.",
897,Woo,"To seek the favor, affection, or support of someone.",
898,Zeal,Great energy or enthusiasm in pursuit of a cause or objective.,
899,Zealous,Having or showing great passion or enthusiasm.,
900,Zenith,The highest point or peak of something.,
901,Abstemious,"Moderate or restrained, especially in eating and drinking.",Characterized by self-discipline or avoidance of excess.
902,Complaisant,Willing to please others; obliging or agreeable.,
903,Disabuse,To free someone from a false belief or misconception.,
904,Discordant,Lacking harmony; clashing or conflicting.,Disagreeing or incongruous.
905,Disparage,To belittle or speak of someone or something in a disrespectful way.,
906,Elegy,"A mournful poem or piece of music, often lamenting the dead.",
907,Eulogy,"A speech or piece of writing praising someone, especially one who has died.",
908,Exigency,An urgent need or demand.,
909,Fatuous,"Silly or foolish, especially in an unconscious or complacent way.",
910,Frugal,Economical and avoiding waste; thrifty.,
911,Guileless,Free of deceit or cunning; innocent and sincere.,
912,Gullible,Easily deceived or tricked.,
913,Impassive,Not showing or feeling emotion; expressionless.,
913,Impermeable,Not allowing liquids or gases to pass through.,Unable to be affected by outside influences.
914,Implode,To collapse inward violently.,To fail suddenly and completely.
915,Indigence,Extreme poverty or destitution.,
916,Inherent,Existing as a natural or essential quality of something.,
917,Insinuate,"To suggest or hint at something subtly, often negative.",To maneuver oneself into a favorable position.
918,Insular,Narrow-minded or isolated in outlook.,Relating to an island.
919,Intransigent,Unwilling to change one's views or agree to compromise.,
920,Inured,Accustomed to something unpleasant or difficult.,
921,Invective,"Harsh, insulting, or abusive language.",
922,Plethora,An excessive or overabundant amount of something.,
923,Pragmatic,"Dealing with things practically and realistically, rather than theoretically.",
924,Precursor,Something that comes before and indicates the approach of something else.,
925,Propriety,Conformity to accepted standards of behavior or morals.,
926,Proscribe,"To forbid or prohibit something, especially by law.",
927,Pungent,"Having a strong, sharp taste or smell.",Sharply expressive or critical.
928,Qualified,Meeting the necessary conditions or standards.,Limited or restricted in some way.
929,Recalcitrant,Stubbornly uncooperative or defiant of authority.,
930,Rescind,"To revoke, cancel, or repeal a law, order, or agreement.",
931,Salubrious,Health-giving or beneficial.,Pleasant or agreeable in climate or surroundings.
932,Satiate,To satisfy a desire or appetite to the fullest.,
933,Vituperative,Harshly critical or abusive in speech or writing.,
